"id","created_at","name","has_test","alternate_url"
"127928417","2025-11-20T17:44:56+0300","Директор по цифровой трансформации (CDO/Head of Digital)",false,"https://hh.ru/vacancy/127928417"
"127952822","2025-11-21T14:20:48+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/127952822"
"127949831","2025-11-21T13:18:22+0300","Data Scientist Intern/Junior in Financial Risk Management team",false,"https://hh.ru/vacancy/127949831"
"127063385","2025-10-28T14:15:12+0300","Junior Data Scientist (Python, ML) / Дата-сайентист",false,"https://hh.ru/vacancy/127063385"
"127706118","2025-11-14T11:51:39+0300","Junior Data Scientist, Speech, Machine Learning",false,"https://hh.ru/vacancy/127706118"
"127934606","2025-11-21T08:05:42+0300","Аналитик данных (data analyst)",false,"https://hh.ru/vacancy/127934606"
"127517962","2025-11-11T11:49:52+0300","Data Scientist / ML engineer / Data science",false,"https://hh.ru/vacancy/127517962"
"127436082","2025-11-10T06:13:51+0300","Системный аналитик",false,"https://hh.ru/vacancy/127436082"
"127928908","2025-11-20T18:01:40+0300","Data Scientist",false,"https://hh.ru/vacancy/127928908"
"127978736","2025-11-24T08:28:37+0300","Data Scientist Middle/Middle+",false,"https://hh.ru/vacancy/127978736"
"127202494","2025-11-01T09:09:01+0300","ML-аналитик / Data Scientist",false,"https://hh.ru/vacancy/127202494"
"127446104","2025-11-10T09:34:25+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/127446104"
"126970916","2025-10-27T10:56:35+0300","Ведущий разработчик искусственного интеллекта/Middle Data scientist",false,"https://hh.ru/vacancy/126970916"
"127819012","2025-11-18T10:44:16+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/127819012"
"127855846","2025-11-19T09:21:18+0300","Data Scientist/Аналитик данных (Москва_гибрид)",false,"https://hh.ru/vacancy/127855846"
"127923814","2025-11-20T15:57:09+0300","Machine learning engineer/AI engineer/AI Agent",false,"https://hh.ru/vacancy/127923814"
"127979484","2025-11-24T08:47:12+0300","Middle Data Scientist",false,"https://hh.ru/vacancy/127979484"
"127422968","2025-11-07T21:13:14+0300","AI Tech Lead",false,"https://hh.ru/vacancy/127422968"
"127949893","2025-11-21T13:19:56+0300","Data Scientist (MedTech)",false,"https://hh.ru/vacancy/127949893"
"127837717","2025-11-18T15:44:47+0300","Аналитик данных в команду Прогноза промо-продаж",false,"https://hh.ru/vacancy/127837717"
